Name, path, units, tagline
"Acidification Air", "acid_air"
"CO", "co"
"Eutrophication Air", "eutrophication_air"
"Eutrophication Water", "eutrophication_water"
"Global Warming", "global_warming"
"HH Criteria Air", "hh_criteria_air"
"High Ecotoxicity", "high_ecotoxicity"
"High Human Health Cancer", "high_human_health_cancer"
"High Human Health Noncancer", "high_human_health_noncancer"
"Low Ecotoxicity", "low_ectoxicity"
"Low Human Health Cancer", "low_human_health_cancer"
"Low Human Health Noncancer", "low_human_health_noncancer"
"NH3", "nh3"
"NOX", "nox"
"Ozone Depletion", "ozone_depletion"
"PM-10", "pm10"
"PM-25", "pm25"
"Purch_Total_Energy", "purch_total_energy"
"RCRA", "rcra"
"Smog Air", "smog_air"
"so2", "so2"
"Total GHGs", "total_ghgs"
"VOC", "voc"
"Water Use", "water_use"
