1,Oilseed farming
10,All other crop farming
100,Wood container and pallet manufacturing
101,Manufactured home, mobile home, manufacturing
102,Prefabricated wood building manufacturing
103,Miscellaneous wood product manufacturing
104,Pulp mills
105,Paper mills
106,Paperboard Mills
107,Paperboard container manufacturing
108,Coated and laminated paper, packaging materials, and plastic films manufacturing
109,All other paper bag and coated and treated paper manufacturing
11,Milk Production
110,Stationery product manufacturing
111,Sanitary paper product manufacturing
112,All other converted paper product manufacturing
113,Printing
114,Support activities for printing
115,Petroleum refineries
116,Asphalt paving mixture and block manufacturing
117,Asphalt shingle and coating materials manufacturing
118,Petroleum lubricating oil and grease manufacturing
119,All other petroleum and coal products manufacturing
12,Cattle ranching and farming
120,Petrochemical manufacturing
121,Industrial gas manufacturing
122,Synthetic dye and pigment manufacturing
123,Alkalies and chlorine manufacturing
124,Carbon black manufacturing
125,All other basic inorganic chemical manufacturing
126,Other basic organic chemical manufacturing
127,Plastics material and resin manufacturing
128,Synthetic rubber manufacturing
129,Artificial and synthetic fibers and filaments manufacturing
13,Poultry and egg production
130,Fertilizer Manufacturing
131,Pesticide and other agricultural chemical manufacturing
132,Medicinal and botanical manufacturing
133,Pharmaceutical preparation manufacturing
134,In-vitro diagnostic substance manufacturing
135,Biological product (except diagnostic) Manufacturing
136,Paint and coating manufacturing
137,Adhesive manufacturing
138,Soap and cleaning compound manufacturing
139,Toilet preparation manufacturing
14,Animal production, except cattle and poultry and eggs
140,Printing ink manufacturing
141,All other chemical product and preparation manufacturing
142,Plastics packaging materials, film and sheet
143,Unlaminated plastics profile shape manufacturing
144,Plastics Pipe and Pipe Fitting Manufacturing
145,Laminated plastics plate, sheet, and shapes
146,Polystyrene Foam Product Manufacturing
147,Urethane and Other Foam Product (except Polystyrene) Manufacturing
148,Plastics bottle manufacturing
149,Other plastics product manufacturing
15,Logging
150,Tire manufacturing
151,Rubber and plastics hose and belting manufacturing
152,Other rubber product manufacturing
153,Pottery, ceramics, and plumbing fixture manufacturing
154,Brick, tile, and other structural clay product manufacturing
155,Clay and non-clay refractory manufacturing
156,Flat glass manufacturing
157,Other pressed and blown glass and glassware manufacturing
158,Glass container manufacturing
159,Glass Product Manufacturing Made of Purchased Glass
16,Forest nurseries, forest products, and timber tracts
160,Cement manufacturing
161,Ready-mix concrete manufacturing
162,Concrete pipe, brick and block manufacturing
163,Other concrete product manufacturing
164,Lime and gypsum product manufacturing
165,Abrasive product manufacturing
166,Cut stone and stone product manufacturing
167,Ground or treated minerals and earths manufacturing
168,Mineral wool manufacturing
169,Miscellaneous nonmetallic mineral products
17,Fishing
170,Iron and steel mills
171,Iron, steel pipe and tube manufacturing from purchased steel
172,Secondary smelting and alloying of aluminum
173,Alumina refining and primary aluminum production
174,Aluminum product manufacturing from purchased aluminum
175,Primary smelting and refining of copper
176,Primary smelting and refining of nonferrous metal (except copper and aluminum)
177,Copper rolling, drawing, extruding and alloying
178,Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying
179,Ferrous metal foundaries
18,Hunting and trapping
180,Nonferrous foundries
181,Custom roll forming
182,All other forging, stamping , and sintering
183,Crown, closure and metal stamping manufacturing
184,Cutlery, utensils, pots, and pans manufacturing
185,Handtool manufacturing
186,Plate work and fabricated structural product manufacturing
187,Ornamental and architectural metail products manufacturing
188,Power boiler and heat exchanger manufacturing
189,Metal tank, heavy gauge, manufacturing
19,Agriculture and forestry support activities
190,Metal can, box, and other container manufacturing
191,Hardware manufacturing
192,Spring and wire product manufacturing
193,Machine shops
194,Turned product and screw, nut, and bolt manufacturing
195,Coating, engraving, heat treating and allied activities
196,Plumbing Fixture Fitting and Trim Manufacturing
197,Valve and fittings other than plumbing
198,Ball and roller bearing manufacturing
199,Fabricated pipe and pipe fitting manufacturing
2,Grain farming
20,Oil and gas extraction
200,Ammunition manufacturing
201,Ordnance and accessories manufacturing
202,Other fabricated metal manufacturing
203,Farm machinery and equipment manufacturing
204,Lawn and garden equipment manufacturing
205,Construction machinery manufacturing
206,Mining and oil and gas field machinery manufacturing
207,Plastics and rubber industry machinery
208,Semiconductor machinery manufacturing
209,Other industrial machinery manufacturing
21,Coal mining
210,Optical instrument and lens manufacturing
211,Photographic and photocopying equipment manufacturing
212,Other commercial and service industry machinery manufacturing
213,Vending, commerical, industrial, and office machinery manufacturing
214,Heating equipment (except warm air furnaces) manufacturing
215,Air conditioning, refrigeration, and warm air heating equipment manufacturing
216,Air purification and ventilation equipment manufacturing
217,Industrial mold manufacturing
218,Special tool, die, jig, and fixture manufacturing
219,Cutting tool and machine tool accessory manufacturing
22,Iron ore mining
220,Metal cutting and forming machine tool manufacturing
221,Rolling mill and other metalworking machinery manufacturing
222,Turbine and turbine generator set units manufacturing
223,Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing
224,Mechanical Power Transmission Equipment Manufacturing
225,Other engine equipment manufacturing
226,Pump and pumping equipment manufacturing
227,Air and gas compressor manufacturing
228,Material handling equipment manufacturing
229,Power-driven handtool manufacturing
23,Copper, nickel, lead, and zinc mining
230,Packaging machinery manufacturing
231,Industrial process furnace and oven manufacturing
232,Fluid power process machinery
233,Process and oven not fluid power machinery
234,Electronic computer manufacturing
235,Computer storage device manufacturing
236,Computer terminals and other computer peripheral equipment manufacturing
237,Telephone apparatus manufacturing
238,Broadcast and wireless communications equipment
239,Other communications equipment manufacturing
24,Gold, silver, and other metal ore mining
240,Audio and video equipment manufacturing
241,Electron tube manufacturing
242,Bare printed circuit board manufacturing
243,Semiconductor and related device manufacturing
244,Electronic connector manufacturing
245,Printed circuit assembly (electronic assembly) manufacturing
246,Other electronic component manufacturing
247,Electronic capacitor, resistor, coil, transformer, and other inductor manufacturing
248,Electromedical apparatus manufacturing
249,Search, detection, and navigation instruments
25,Stone mining and quarrying
250,Automatic environmental control manufacturing
251,Industrial process variable instruments
252,Totalizing fluid meters and counting devices
253,Electricity and signal testing instruments
254,Analytical laboratory instrument manufacturing
255,Irradiation apparatus manufacturing
256,Watch, clock, and other measuring and controlling device manufacturing
257,Magnetic and optical recording media manufacturing
258,Software, audio and video reproduction
259,Electric lamp bulb and part manufacturing
26,Sand, gravel, clay, and refractory mining
260,Lighting fixture manufacturing
261,Small electrical appliance manufacturing
262,Household cooking appliance manufacturing
263,Household refrigerator and home freezer manufacturing
264,Household laundry equipment manufacturing
265,Other major household appliance manufacturing
266,Electric power and specialty transformer manufacturing
267,Motor and generator manufacturing
268,Switchgear and switchboard apparatus manufacturing
269,Relay and industrial control manufacturing
27,Other nonmetallic mineral mining
270,Storage battery manufacturing
271,Primary battery manufacturing
272,Communication and energy wire and cable manufacturing
273,Wiring device manufacturing
274,Carbon and graphite product manufacturing
275,Miscellaneous electrical equipment manufacturing
276,Automobile Manufacturing
277,Light Truck and Utility Vehicle Manufacturing
278,Heavy duty truck manufacturing
279,Motor vehicle body manufacturing
28,Drilling oil and gas wells
280,Truck trailer manufacturing
281,Motor home manufacturing
282,Travel trailer and camper manufacturing
283,Motor vehicle parts manufacturing
284,Aircraft manufacturing
285,Aircraft engine and engine parts manufacturing
286,Other aircraft parts and equipment
287,Guided missile and space vehicle manufacturing
288,Other guided missile and space vehicle parts and auxiliary equipment manufacturing
289,Railroad rolling stock manufacturing
29,Support activities for oil and gas operations
290,Ship building and repairing
291,Boat building
292,Motorcycle, bicycle, and parts manufacturing
293,Military armored vehicles and tank parts manufacturing
294,All other transportation equipment manufacturing
295,Wood kitchen cabinet and countertop manufacturing
296,Upholstered household furniture manufacturing
297,Nonupholstered wood household furniture manufacturing
298,Institutional furniture manufacturing
299,Metal and other household nonupholsetered furniture
3,Vegetable and melon farming
30,Support activities for other mining
300,Custom architectural woodwork and millwork
301,Showcases, partitions, shelving, and lockers
302,Office furniture manufacturing
303,Mattress manufacturing
304,Blind and shade manufacturing
305,Laboratory apparatus and furniture manufacturing
306,Surgical and medical instrument manufacturing
307,Surgical appliance and supplies manufacturing
308,Dental equipment and supplies manufacturing
309,Ophthalmic goods manufacturing
31,Power generation and supply
310,Dental laboratories
311,Jewelry and silverware manufacturing
312,Sporting and athletic goods manufacturing
313,Doll, toy, and game manufacturing
314,Office supplies (except paper) manufacturing
315,Sign manufacturing
316,Gasket, packing, and sealing device manufacturing
317,Musical instrument manufacturing
318,Broom, brush, and mop manufacturing
319,All other miscellaneous manufacturing
32,Natural gas distribution
320,Wholesale trade
321,Air transportation
322,Rail transportation
323,Water transportation
324,Truck transportation
325,Transit and ground passenger transportation
326,Pipeline transportation
327,Scenic and sightseeing transportation and support activities for transportation
328,Postal service
329,Couriers and messengers
33,Water, sewage and other systems
330,Warehousing and storage
331,Retail trade
332,Newspaper publishers
333,Periodical publishers
334,Book publishers
335,Directory, mailing list, and other publishers
336,Software publishers
337,Motion picture and video industries
338,Sound recording industries
339,Radio and television broadcasting
34,Nonresidential commercial and health care structures
340,Cable and other subscription programming
341,Internet publishing and broadcasting
342,Telecommunications
343,Internet service providers and web search portals
344,Data processing, hosting, and related services
345,Other information services
346,Nondepository credit intermediation and related activities
347,Securities, commodity contracts, investments
348,Insurance carriers
349,Insurance agencies, brokerages, and related
35,Nonresidential manufacturing structures
350,Funds, trusts, and other financial vehicles
351,Monetary authorities and depository credit intermediation
352,Real estate
353,Automotive equipment rental and leasing
354,Video tape and disc rental
